Country,CompanyType,YearsInOperation,AnnualRevenue,CompanySize,MainLogisticsChallenges,GCCShipmentFrequency,CurrentWarehousingSolution,CurrentDeliveryModel,PainPointsCurrentModel,TechAdoption,SustainabilityImportance,CarbonTracking,EcoPayExtra,EcoFeaturesMatterMost,LikelihoodToUseAIPlatform,MotivatorsToSwitch,ConcernsSwitching,WillingnessToSpendPerMonth,PilotProgramInterest
Saudi Arabia,SME Manufacturer,4-7,"1,000,001 – 5,000,000",11–50,"Technology adoption, Tracking shipments",Weekly,Own warehouse,Mix of both,Lack of flexibility,Basic software (inventory/ERP),2,No,Yes,"Electric vehicles, Green packaging",4,Faster deliveries,Data security/privacy,"1,001 – 5,000",Yes
Kuwait,SME Manufacturer,1-3,"Above 5,000,000",More than 200,"Last-mile delivery costs, Technology adoption",Weekly,Own warehouse,No dedicated model,"Environmental concerns, Lack of flexibility",Basic software (inventory/ERP),3,No,No,"Carbon offset options, Green packaging",3,"Lower costs, Sustainability features","Price transparency, Reliability of new provider",Less than 500,Yes
UAE,SME Manufacturer,1-3,"1,000,001 – 5,000,000",11–50,"Carbon emissions / sustainability, Finding flexible warehouse space",Weekly,Own warehouse,Outsourced to 3PL,"Environmental concerns, Lack of flexibility",Manual (spreadsheets/phone/email),2,No,Maybe,Green packaging,4,"Flexible contract terms, Lower costs","Data security/privacy, Integration with existing systems","500 – 1,000",Yes
Saudi Arabia,SME Manufacturer,1-3,"100,000 – 500,000",51–200,"Finding flexible warehouse space, Last-mile delivery costs",Monthly,Rented long-term,Outsourced to 3PL,High cost,Basic software (inventory/ERP),3,Yes,Yes,"Carbon offset options, Electric vehicles",3,Sustainability features,Integration with existing systems,"1,001 – 5,000",No
Oman,SME Manufacturer,1-3,"500,001 – 1,000,000",51–200,"Finding flexible warehouse space, Technology adoption",Monthly,Rented long-term,Mix of both,"Difficult to scale, High cost, Lack of flexibility",Manual (spreadsheets/phone/email),3,Yes,Yes,Electric vehicles,4,Lower costs,Price transparency,"1,001 – 5,000",Yes
Saudi Arabia,SME Manufacturer,Less than 1,"Above 5,000,000",11–50,"Carbon emissions / sustainability, Last-mile delivery costs",Monthly,Own warehouse,Mix of both,High cost,"Automated (IoT, AI-driven, warehouse management systems)",1,No,Yes,"Electric vehicles, Solar-powered warehouses",4,Better tracking/visibility,"Price transparency, Reliability of new provider","1,001 – 5,000",Yes
Saudi Arabia,SME Manufacturer,1-3,"500,001 – 1,000,000",11–50,"Last-mile delivery costs, Technology adoption",Daily,On-demand (pay as you go),Mix of both,Difficult to scale,Basic software (inventory/ERP),4,No,Maybe,Electric vehicles,5,Lower costs,"Data security/privacy, Reliability of new provider","500 – 1,000",Yes
Qatar,E-commerce Brand,Less than 1,"500,001 – 1,000,000",More than 200,"Managing cross-border compliance, Technology adoption",Rarely,On-demand (pay as you go),Mix of both,"Environmental concerns, Lack of flexibility",Manual (spreadsheets/phone/email),4,Yes,No,Route optimization for less fuel,3,"Lower costs, Sustainability features",None,Less than 500,Yes
Qatar,Other,8+,"Less than 100,000",11–50,"Managing cross-border compliance, Tracking shipments",Monthly,On-demand (pay as you go),Outsourced to 3PL,"Delays at borders, Lack of flexibility",Manual (spreadsheets/phone/email),3,Yes,No,Electric vehicles,4,"Faster deliveries, Flexible contract terms","Integration with existing systems, Price transparency","1,001 – 5,000",Yes
Saudi Arabia,E-commerce Brand,8+,"500,001 – 1,000,000",11–50,"Last-mile delivery costs, Other",Monthly,On-demand (pay as you go),Mix of both,"Delays at borders, Environmental concerns",Basic software (inventory/ERP),1,No,Yes,Carbon offset options,2,Faster deliveries,Price transparency,"1,001 – 5,000",Maybe
Oman,SME Retailer,1-3,"100,000 – 500,000",More than 200,"Carbon emissions / sustainability, Other",Daily,Rented long-term,Outsourced to 3PL,"Environmental concerns, High cost",Manual (spreadsheets/phone/email),5,Yes,Maybe,Green packaging,4,Lower costs,"None, Reliability of new provider","1,001 – 5,000",Yes
Qatar,E-commerce Brand,8+,"500,001 – 1,000,000",51–200,"Finding flexible warehouse space, Managing cross-border compliance",Monthly,On-demand (pay as you go),Mix of both,Difficult to scale,Basic software (inventory/ERP),2,Yes,No,"Green packaging, Route optimization for less fuel",5,"Lower costs, Sustainability features",None,"1,001 – 5,000",Maybe
Saudi Arabia,E-commerce Brand,1-3,"100,000 – 500,000",More than 200,"Technology adoption, Tracking shipments",Weekly,Third-party logistics (3PL),Mix of both,"High cost, Lack of flexibility, Poor visibility/tracking","Automated (IoT, AI-driven, warehouse management systems)",3,No,Maybe,"Carbon offset options, Route optimization for less fuel",3,"Faster deliveries, Lower costs","None, Price transparency","More than 10,000",Yes
UAE,SME Retailer,1-3,"100,000 – 500,000",11–50,"Last-mile delivery costs, Technology adoption",Weekly,Third-party logistics (3PL),In-house,"Delays at borders, Lack of flexibility",Manual (spreadsheets/phone/email),3,No,Maybe,"Carbon offset options, Green packaging",4,Lower costs,Reliability of new provider,"500 – 1,000",No
UAE,SME Manufacturer,1-3,"100,000 – 500,000",11–50,"Last-mile delivery costs, Tracking shipments",Rarely,Own warehouse,Outsourced to 3PL,Delays at borders,Manual (spreadsheets/phone/email),2,No,No,Electric vehicles,4,"Better tracking/visibility, Faster deliveries",Data security/privacy,Less than 500,No
Bahrain,Other,8+,"500,001 – 1,000,000",51–200,"Managing cross-border compliance, Other",Weekly,On-demand (pay as you go),Outsourced to 3PL,Delays at borders,Manual (spreadsheets/phone/email),3,No,Yes,"Electric vehicles, Route optimization for less fuel",4,"Faster deliveries, Sustainability features",Data security/privacy,"1,001 – 5,000",No
Saudi Arabia,SME Retailer,4-7,"500,001 – 1,000,000",11–50,"Carbon emissions / sustainability, Last-mile delivery costs",Weekly,On-demand (pay as you go),Outsourced to 3PL,"Difficult to scale, Environmental concerns, High cost",Basic software (inventory/ERP),2,Yes,Yes,"Carbon offset options, Electric vehicles",4,"Faster deliveries, Lower costs",Data security/privacy,Less than 500,Yes
Saudi Arabia,SME Manufacturer,4-7,"100,000 – 500,000",51–200,"Carbon emissions / sustainability, Finding flexible warehouse space",Daily,Own warehouse,Outsourced to 3PL,"Delays at borders, High cost",Basic software (inventory/ERP),3,No,Yes,Solar-powered warehouses,4,Sustainability features,"Data security/privacy, Integration with existing systems","500 – 1,000",No
Kuwait,SME Manufacturer,4-7,"100,000 – 500,000",11–50,"Managing cross-border compliance, Other",Monthly,Rented long-term,Outsourced to 3PL,High cost,"Automated (IoT, AI-driven, warehouse management systems)",4,No,Maybe,Electric vehicles,4,Flexible contract terms,"Data security/privacy, Reliability of new provider",Less than 500,Yes
Bahrain,E-commerce Brand,8+,"100,000 – 500,000",11–50,"Other, Technology adoption",Daily,Own warehouse,Mix of both,"Environmental concerns, High cost, Poor visibility/tracking",Basic software (inventory/ERP),3,No,Yes,"Route optimization for less fuel, Solar-powered warehouses",3,Lower costs,"Integration with existing systems, Price transparency","1,001 – 5,000",Maybe
UAE,SME Retailer,4-7,"100,000 – 500,000",More than 200,"Finding flexible warehouse space, Managing cross-border compliance",Daily,Rented long-term,Mix of both,"Difficult to scale, Poor visibility/tracking",Basic software (inventory/ERP),3,Yes,Maybe,"Green packaging, Route optimization for less fuel",2,"Faster deliveries, Lower costs","Price transparency, Reliability of new provider","5,001 – 10,000",Maybe
Oman,SME Manufacturer,4-7,"500,001 – 1,000,000",More than 200,"Carbon emissions / sustainability, Tracking shipments",Weekly,Own warehouse,In-house,"Delays at borders, High cost",Basic software (inventory/ERP),2,Planning to,No,Electric vehicles,2,"Faster deliveries, Flexible contract terms",Data security/privacy,"1,001 – 5,000",Yes
Saudi Arabia,SME Manufacturer,4-7,"100,000 – 500,000",More than 200,"Finding flexible warehouse space, Other",Weekly,Rented long-term,Mix of both,High cost,Basic software (inventory/ERP),3,No,Maybe,"Route optimization for less fuel, Solar-powered warehouses",4,Faster deliveries,"Data security/privacy, Reliability of new provider",Less than 500,No
UAE,SME Manufacturer,Less than 1,"1,000,001 – 5,000,000",51–200,"Other, Technology adoption",Weekly,Rented long-term,Outsourced to 3PL,"Delays at borders, Difficult to scale, Lack of flexibility",Basic software (inventory/ERP),2,No,Yes,"Carbon offset options, Solar-powered warehouses",4,Sustainability features,Reliability of new provider,"1,001 – 5,000",Yes
Bahrain,SME Manufacturer,Less than 1,"Less than 100,000",11–50,"Carbon emissions / sustainability, Tracking shipments",Rarely,Own warehouse,Outsourced to 3PL,"High cost, Lack of flexibility, Poor visibility/tracking",Basic software (inventory/ERP),3,Yes,No,Electric vehicles,3,"Faster deliveries, Lower costs","Data security/privacy, None",Less than 500,Maybe
Qatar,E-commerce Brand,8+,"Less than 100,000",51–200,"Last-mile delivery costs, Technology adoption",Weekly,On-demand (pay as you go),In-house,High cost,Basic software (inventory/ERP),4,Planning to,Maybe,"Green packaging, Route optimization for less fuel",4,"Flexible contract terms, Sustainability features",Data security/privacy,"500 – 1,000",Maybe
UAE,SME Manufacturer,4-7,"1,000,001 – 5,000,000",11–50,"Other, Tracking shipments",Weekly,Third-party logistics (3PL),Mix of both,"Delays at borders, High cost, Poor visibility/tracking",Manual (spreadsheets/phone/email),3,No,No,"Green packaging, Route optimization for less fuel",4,Better tracking/visibility,Reliability of new provider,Less than 500,Maybe
Oman,E-commerce Brand,8+,"100,000 – 500,000",11–50,"Finding flexible warehouse space, Last-mile delivery costs",Monthly,Rented long-term,Mix of both,"Delays at borders, Environmental concerns, High cost",Basic software (inventory/ERP),5,No,Maybe,"Carbon offset options, Green packaging",3,"Flexible contract terms, Lower costs","Integration with existing systems, Reliability of new provider","500 – 1,000",No
UAE,Logistics Provider,Less than 1,"Above 5,000,000",11–50,"Last-mile delivery costs, Managing cross-border compliance",Rarely,Rented long-term,Outsourced to 3PL,Lack of flexibility,Basic software (inventory/ERP),2,No,No,"Carbon offset options, Green packaging",5,"Faster deliveries, Lower costs","Data security/privacy, Integration with existing systems","1,001 – 5,000",Maybe
Saudi Arabia,E-commerce Brand,1-3,"100,000 – 500,000",11–50,"Managing cross-border compliance, Other",Daily,Own warehouse,In-house,Poor visibility/tracking,Manual (spreadsheets/phone/email),3,No,Maybe,Carbon offset options,3,Lower costs,None,Less than 500,No
Saudi Arabia,SME Manufacturer,8+,"1,000,001 – 5,000,000",1–10,"Carbon emissions / sustainability, Technology adoption",Rarely,On-demand (pay as you go),In-house,"Difficult to scale, Poor visibility/tracking",Manual (spreadsheets/phone/email),3,No,Yes,Electric vehicles,4,Sustainability features,Reliability of new provider,"1,001 – 5,000",No
Saudi Arabia,SME Retailer,4-7,"100,000 – 500,000",More than 200,"Carbon emissions / sustainability, Managing cross-border compliance",Monthly,On-demand (pay as you go),Mix of both,High cost,Basic software (inventory/ERP),5,Planning to,Yes,Carbon offset options,3,Lower costs,None,"500 – 1,000",Maybe
Qatar,E-commerce Brand,1-3,"100,000 – 500,000",1–10,"Other, Technology adoption",Weekly,On-demand (pay as you go),In-house,"Environmental concerns, High cost",Basic software (inventory/ERP),1,No,Yes,Route optimization for less fuel,3,Faster deliveries,Data security/privacy,"500 – 1,000",No
Qatar,SME Retailer,8+,"1,000,001 – 5,000,000",11–50,"Carbon emissions / sustainability, Managing cross-border compliance",Rarely,Third-party logistics (3PL),In-house,"High cost, Lack of flexibility",Manual (spreadsheets/phone/email),3,Planning to,Maybe,Green packaging,2,"Better tracking/visibility, Lower costs",Integration with existing systems,"More than 10,000",Maybe
UAE,SME Manufacturer,4-7,"500,001 – 1,000,000",1–10,"Carbon emissions / sustainability, Finding flexible warehouse space",Weekly,On-demand (pay as you go),Outsourced to 3PL,"High cost, Lack of flexibility",Manual (spreadsheets/phone/email),1,No,Yes,Solar-powered warehouses,3,"Better tracking/visibility, Sustainability features",Reliability of new provider,Less than 500,Yes
Saudi Arabia,Logistics Provider,4-7,"Less than 100,000",1–10,"Carbon emissions / sustainability, Managing cross-border compliance",Daily,On-demand (pay as you go),Mix of both,Delays at borders,Basic software (inventory/ERP),4,No,Yes,Electric vehicles,5,Lower costs,"Integration with existing systems, Reliability of new provider",Less than 500,Maybe
Kuwait,SME Retailer,4-7,"100,000 – 500,000",11–50,"Finding flexible warehouse space, Tracking shipments",Rarely,Own warehouse,Mix of both,High cost,Basic software (inventory/ERP),3,Planning to,Maybe,"Electric vehicles, Green packaging",2,Sustainability features,"None, Price transparency","500 – 1,000",No
UAE,Logistics Provider,Less than 1,"Above 5,000,000",11–50,"Finding flexible warehouse space, Tracking shipments",Monthly,Own warehouse,Outsourced to 3PL,"Delays at borders, Environmental concerns",Manual (spreadsheets/phone/email),3,No,No,"Carbon offset options, Green packaging",2,"Faster deliveries, Lower costs",Price transparency,"5,001 – 10,000",Yes
Kuwait,Logistics Provider,4-7,"500,001 – 1,000,000",51–200,"Finding flexible warehouse space, Last-mile delivery costs",Rarely,None,In-house,"Environmental concerns, High cost, Poor visibility/tracking",Manual (spreadsheets/phone/email),5,No,Yes,Route optimization for less fuel,4,Lower costs,None,"1,001 – 5,000",No
Saudi Arabia,Other,8+,"500,001 – 1,000,000",11–50,"Finding flexible warehouse space, Last-mile delivery costs",Monthly,Own warehouse,Outsourced to 3PL,"Environmental concerns, High cost, Poor visibility/tracking","Automated (IoT, AI-driven, warehouse management systems)",4,No,No,"Route optimization for less fuel, Solar-powered warehouses",4,Flexible contract terms,Data security/privacy,"1,001 – 5,000",No
Saudi Arabia,SME Retailer,1-3,"500,001 – 1,000,000",51–200,"Technology adoption, Tracking shipments",Weekly,On-demand (pay as you go),Mix of both,High cost,"Automated (IoT, AI-driven, warehouse management systems)",4,Planning to,Maybe,Green packaging,2,"Faster deliveries, Flexible contract terms",Integration with existing systems,"1,001 – 5,000",Maybe
Qatar,SME Retailer,4-7,"100,000 – 500,000",1–10,"Last-mile delivery costs, Managing cross-border compliance",Weekly,Rented long-term,In-house,"Lack of flexibility, Poor visibility/tracking",Basic software (inventory/ERP),2,No,Maybe,Electric vehicles,4,Sustainability features,Price transparency,"5,001 – 10,000",Yes
UAE,SME Retailer,1-3,"Above 5,000,000",51–200,"Finding flexible warehouse space, Managing cross-border compliance",Daily,Own warehouse,In-house,"Environmental concerns, High cost",Basic software (inventory/ERP),4,No,Yes,Green packaging,4,Flexible contract terms,Reliability of new provider,"1,001 – 5,000",Maybe
